
category,product_name,brand,subtype,thc_info,cbd_info,dose_info,format,effects_tags,use_case_note,guidelight_note
Flower,GOOD GREEN - FAT BILLY - MIXED BUDS - 1 OZ - 28G INDOOR FLOWER,Good Green,Hybrid Flower,28.37% THC,0% CBD,,28 g,"Creative, Energized, Happy","My pick when I want a smooth, cozy evening.",Balanced hybrid flower with moderate-high potency.
Flower,SPACEBUDS MOONROCKS - APPLE PIE - MOON ROCKS,Spacebuds Moonrocks,Hybrid Moon Rocks,65.18% THC,0.21% CBD,,4 g,"Blissful, Relaxing, Uplifting, Creative","What I reach for for a strong, euphoric hit when hanging with friends.",Extremely high potency moon rocks—experienced users only.
Flower,6 POINT CANNABIS - KRAZY RUNTZ - 3.5G INDOOR FLOWER,6 Point Cannabis,Hybrid Flower,26.69% THC,0% CBD,,3.5 g,"Relaxed, Happy, Uplifting",Great for relaxing afternoons without feeling stuck.,Well‑balanced hybrid with moderate potency.
Flower,FIND - GUSH MINTS - 3.5G INDOOR FLOWER,Find,Hybrid Flower,27.15% THC,0.10% CBD,,3.5 g,"Creative, Energized, Happy",Keeps me uplifted and social during day hangs.,Energetic hybrid with minty notes.
Flower,FIND - WHITE HOT GUAVA - 14G INDOOR FLOWER,Find,Hybrid Flower,28.46% THC,,,14 g,"Creative, Energized, Happy",For days when I need a boost of creativity.,Large format hybrid flower—great for sharing.
Flower,FIND - JAYNA'S SUNSHINE - 14G INDOOR FLOWER,Find,Hybrid Flower,32.59% THC,,,14 g,"Creative, Energized, Happy",Brings a sun‑kissed smile to busy afternoons.,High‑potency hybrid; pack a punch.
Flower,GRASSROOTS - BLUE LOBSTER - SMALLS - 14G INDOOR FLOWER,Grassroots,Hybrid Smalls,30.23% THC,,,14 g,"Creative, Energized, Happy",My go‑to for laid‑back creative sessions.,Smalls offer value without losing potency.
Flower,THE BOTANIST - RUFFHOUSE - 14G FLOWER,The Botanist,Indica Flower,20.30% THC,,,14 g,"Relaxed, Sleepy, Hungry",Perfect for winding down before bed.,Indica‑leaning flower; good for nighttime relaxation.
Flower,ALPINE AGRONOMY - GARLIC CRUSHER - 3.5G INDOOR FLOWER,Alpine Agronomy,Hybrid Flower,27.70% THC,,,3.5 g,"Creative, Energized, Happy",Great when I’m cooking or getting creative in the kitchen.,Potent hybrid with savory notes.
Flower,RYTHM - JACK'S DELIGHT - INDOOR FLOWER,Rythm,Sativa Flower,27.35% THC,,,3.5 g,"Inspired, Creative, Energized","My go-to sativa-leaning hybrid for outdoor adventures and chores.",Justin’s favorite energizing hybrid; great for daytime creative tasks.
Flower,FIND - AGENT Z - 3.5G INDOOR FLOWER,Find,Sativa Flower,25.06% THC,,,3.5 g,"Inspired, Creative, Energized",Keeps me sharp during brainstorming sessions.,Zesty sativa that sparks creativity.
Flower,6 POINT CANNABIS - TROPICANA BANANA - 3.5G INDOOR FLOWER,6 Point Cannabis,Hybrid Flower,22.62% THC,,,3.5 g,"Uplifting, Social, Happy",Great for weekend brunches or social gatherings.,Fruity hybrid; moderate potency and friendly for daytime.
Vaporizer,MFNY - MFNY SKUNK - LIVE RESIN - ALL-IN-ONE VAPE,MFNY,Indica All‑in‑One Vape,69.33% THC,0.019% CBD,,0.5 g,"Relaxed, Sleepy, Hungry",My pick for a restful evening when I need to unplug.,Live resin AIO; moderate potency and indica effects.
Vaporizer,NYCE - WEDDING CAKE - LIVE HASH ROSIN 0.5G ALL-IN-ONE VAPE,NYCE,Hybrid All‑in‑One Vape,78.28% THC,,,0.5 g,"Creative, Energized, Happy",For creative bursts and social get‑togethers.,Live hash rosin; potent and flavorful.
Vaporizer,GHOST - GRAPE GODDESS - 2G ALL-IN-ONE VAPE,Ghost,Hybrid All‑in‑One Vape,83.73% THC,0.41% CBD,,2 g,"Creative, Energized, Happy",Keeps me uplifted through long days of errands.,Large 2g vape with very high potency.
Vaporizer,GHOST - OCEAN SPRAY - 2G ALL-IN-ONE VAPE,Ghost,Hybrid All‑in‑One Vape,82.94% THC,0.38% CBD,,2 g,"Creative, Energized, Happy",An energizing option for creative projects and social outings.,"2g vape with strong, uplifting effects; experienced users should dose carefully."
Pre Roll,DOGWALKERS - ANIMAL FACE - BIG DOG 0.75G PRE ROLL,Dogwalkers,Indica Pre Roll,27.64% THC,,0.75 g per pre-roll,0.75 g pre-roll,"Relaxed, Sleepy, Hungry","My go-to for a calm, sleepy evening when I don’t want to roll my own.",Potent indica pre-roll; good for nighttime.
Pre Roll,DANK - UPTOWN HAZE 0.5G X 5 INFUSED PRE ROLLS,Dank,Sativa Infused Pre Roll,33.75% THC,,,0.5 g pre-roll 5-pack,"Inspired, Creative, Energized","Ideal for daytime adventures when you want a burst of creativity and energy.",Infused and high potency—share with friends.
Edible,1906 - BLISS DROPS - 2 PACK (10MG THC + 10MG CBD),1906,1:1 Drops,10 mg THC,10 mg CBD,5 mg THC / 5 mg CBD per piece,2-pack,"Inspired, Creative, Energized","For people who want a gentle, mood-boosting edible.",Balanced 1:1 ratio; socially uplifting.
Edible,1906 - CHILL DROPS - 2 PACK (10MG THC + 50MG CBD),1906,High-CBD Drops,10 mg THC,50 mg CBD,5 mg THC / 25 mg CBD per piece,2-pack,"Relaxed, Sleepy, Hungry","What I reach for when I need a calm, sleepy night.",High-CBD blend; soothing and gentle.
Beverage,"AYRLOOM - UP 1:1 - 12OZ SINGLE CAN (10MG THC, 10MG CBC) - ROSE",AYRLOOM,Balanced Beverage,10 mg THC,,10 mg THC per can,12 oz can,"Creative, Energized, Happy","For a sparkling, social vibe with a gentle buzz.",Balanced 1:1 THC:CBC; bright and uplifting.
Beverage,"AYRLOOM - UP 2:1 - 12OZ SINGLE CAN (10MG THC, 5MG CBD) - BLACK CHERRY",AYRLOOM,2:1 Beverage,10 mg THC,5 mg CBD,10 mg THC / 5 mg CBD per can,12 oz can,"Creative, Energized, Happy","Great when I want a bright fruity drink with a mellow uplift.",Moderate potency beverage; balanced 2:1 ratio.
Concentrate,SILLY NICE - THCA DIAMOND POWDER,Silly Nice,High Potency Concentrate,87.20% THC,,,0.5 g jar,"Creative, Energized, Happy","Best when I’m experimenting with dabs or boosting bowls.",Extremely high potency; use sparingly.
Concentrate,7 SEAZ - LEMON DIESEL - GOLDEN SAND - 3.5G KIEF,7 Seaz,Kief Concentrate,44.39% THC,0% CBD,,3.5 g,"Creative, Energized, Happy","A little sprinkle adds a zesty kick to my joints or bowls.",Moderate potency kief; use to enhance flower.
Tincture,"AYRLOOM - EVERYDAY DROPS - TINCTURE - 150MG, 450MG CBD",AYRLOOM,1:3 THC:CBD Tincture,150 mg THC,450 mg CBD,5 mg THC / 15 mg CBD per 1 ml,30 ml bottle,"Creative, Energized, Happy","What I reach for for daytime errands and social hangs.",Balanced ratio; great for beginners or daytime microdosing.
Tincture,"AYRLOOM - PILLOW TALK - TINCTURE - 300MG THC, 1500MG CBN",AYRLOOM,Sleep Tincture,300 mg THC,,10 mg THC / 50 mg CBN per 1 ml,30 ml bottle,"Relaxed, Sleepy, Hungry","My pick when I want to drift off to sleep quickly.",High CBN sleep tincture; strong sedative effect.
Topical,"AYRLOOM - RESTORE - BALM (1000MG THC, 1000MG CBD)",AYRLOOM,1:1 Balm,1000 mg THC,1000 mg CBD,,2.3 oz jar,"Relaxed, Sleepy, Hungry","My go-to balm for soothing muscles after a long day.",1:1 topical; non-intoxicating but relaxing.
